,file,status
120,iphone_2022-06-12_1663048668-7055552,preprocessed
121,Ganesh_Chaturthi_2022-05-25_1663056629-66859,collected
122,Ganesh_Chaturthi_2022-05-25_1663058210-1975968,collected
123,Nupur_2022-06-01_1663065730-5776656,collected
124,iphone_2022-06-01_1663065754-8934362,collected
125,iphone_2022-06-12_1663145204-284241,collected
126,iphone_2022-09-05_1663151457-120312,collected
127,iphone_2022-09-05_1663151597-0636742,collected
128,iphone_2022-09-09_1663579874-382271,preprocessed
129,iphone_2022-07-27_1663580097-4662154,collected
130,iphone_2022-07-01_1663582604-6184921,collected
131,iphone_2022-07-01_1663582697-0903754,collected
132,iphone_2022-07-06_1663597291-5247786,preprocessed
133,iphone_2022-07-06_1663597516-2346232,collected
134,iphone_2022-07-06_1663648543-9229858,collected
135,iphone_2022-07-06_1663665364-13089,collected
136,iphone_2022-07-06_1663703362-9231052,collected
137,iphone_2022-07-06_1663755976-348976,preprocessed
138,iphone_2022-07-06_1663824006-283101,collected
139,iphone_2022-07-01_1663824154-568317,collected
140,iphone_2022-09-10_1664122114-1733847,preprocessed
141,iphone_2022-09-25_1664269170-406476,collected
142,iphone_2022-09-25_1664355183-3009984,preprocessed
143,iphone_2022-09-25_1664359606-0661561,preprocessed
144,iphone_2022-09-25_1664383518-384265,collected
145,iphone_2022-09-25_1664383584-0163302,preprocessed
146,iphone_2022-09-25_1664383638-054494,collected
147,iphone_2022-09-25_1664383926-7955017,preprocessed
148,iphone_2022-09-25_1664426595-048376,preprocessed
149,iphone_2022-09-25_1664430373-1452978,preprocessed
150,iphone_2022-09-25_1664430463-2299283,collected
151,iphone_2022-09-25_1664430577-3173344,collected
152,iphone_2022-09-26_1664430685-7688794,preprocessed
153,iphone_2022-09-01_1664431046-016071,preprocessed
154,iphone_2022-09-01_1664431243-4987528,collected
155,iphone_2022-09-01_1664431485-9009962,preprocessed
156,iphone_2022-09-01_1664431965-479755,collected
157,iphone_2022-09-01_1664432262-0706248,preprocessed
158,iphone_2022-09-01_1664446087-7009115,preprocessed
159,iphone_2022-08-25_1664472536-0510592,collected
160,iphone_2022-08-25_1664472577-2221005,preprocessed
161,iphone_2022-08-25_1664474230-7698421,preprocessed
162,iphone_2022-08-25_1664474288-43086,preprocessed
163,iphone_2022-08-25_1664514331-513837,preprocessed
164,iphone_2022-08-25_1664514631-1701312,preprocessed
165,iphone_2022-08-25_1664514756-0927632,preprocessed
166,iphone_2022-08-25_1664515119-432729,preprocessed
167,iphone_2022-08-25_1664518500-198515,preprocessed
168,iphone_2022-08-25_1664518530-8748426,preprocessed
169,iphone_2022-09-01_1664521784-9121602,preprocessed
170,iphone_2022-09-01_1664522593-0254722,preprocessed
171,iphone_2022-09-01_1664527879-28371,preprocessed
172,iphone_2022-09-01_1664527949-531781,preprocessed
173,iphone_2022-09-01_1664528421-4578865,preprocessed
174,iphone_2022-09-01_1664528500-0887945,preprocessed
175,iphone_2022-09-01_1664528942-9685707,preprocessed
176,iphone_2022-09-01_1664529000-2373466,preprocessed
177,iphone_2022-09-01_1664529141-2456896,preprocessed
178,iphone_2022-08-25_1665152957-232198,preprocessed
179,iphone_2022-08-25_1666806091-541728,pushed
180,iphone_2022-08-25_1666807420-0492272,pushed
181,iphone_2022-08-25_1666810519-1618075,pushed
182,iphone_2022-08-25_1666810721-367389,pushed
183,iphone_2021-08-25_1666837934-6851518,pushed
184,iphone_2021-08-25_1666852882-333745,pushed
185,iphone_2022-08-25_1666853065-823137,pushed
186,iphone_2021-08-25_1666858873-1945057,pushed
187,iphone_2021-08-25_1666860883-184088,pushed
188,iphone_2021-08-25_1667464737-1695945,pushed
189,iphone_2021-08-25_1667464825-7905128,collected
190,iphone_2021-08-25_1667466218-7052462,collected
191,iphone_2021-08-25_1667466377-1250772,collected
192,iphone_2021-08-25_1667466391-55503,collected
193,iphone_2021-08-25_1668048201-400818,collected
194,iphone_2021-08-25_1668048380-6214461,collected
195,iphone_2021-08-25_1668049854-5177264,collected
196,iphone_2022-09-25_1668051456-8262677,collected
197,iphone_2022-09-25_1668053905-770211,collected
198,iphone_2022-09-25_1668064430-7018948,collected
199,iphone_2022-09-25_1668704123-3932555,collected
200,iphone_2022-08-25_1668837490-11377,collected
201,iphone_2022-08-25_1668837793-8625035,collected
202,iphone_2022-08-25_1668838825-8716605,collected
203,iphone_2022-08-25_1668839207-4707558,pushed
204,iphone_2021-06-25_1668839677-5111034,pushed
205,iphone_2021-06-25_1668840519-9821234,collected
206,iphone_2021-06-25_1668840632-719648,collected
207,iphone_2021-06-25_1668840712-757855,preprocessed
208,iphone_2021-06-25_1668840803-8391254,preprocessed
